	tconst	directors	producers	writers
3286	tt13649692	nm0827830,nm1497006		nm1690024
3287	tt1399045	nm0000693,nm0553635,nm3821224,nm1072572,nm1406831,nm0795223,nm0806914,nm0849236,nm12338293,nm0904169,nm0003022,nm2704557,nm0841772,nm0534850,nm0505842,nm0035243,nm0001102,nm1204568,nm0177512,nm0066584,nm1062017,nm0961594,nm1143132,nm1490123,nm0190597,nm0378893,nm0205377,nm0881038,nm0543622,nm0548159,nm0086745,nm0833191,nm0251032,nm0020491,nm0571739,nm0624423,nm0011876,nm0179697,nm1734368,nm0163892,nm1234893,nm0085512,nm0076167,nm1273063,nm0744794,nm0003446,nm0075244,nm0877427,nm0385151		nm0957453,nm0006997,nm1748948,nm1408499,nm2640743,nm1257567,nm3288955,nm4185170,nm4369769,nm2121117,nm1446971,nm0805133,nm5782115,nm6016238,nm0012182,nm1745389,nm1262440,nm4892823,nm2357543,nm0877273,nm2375463,nm10447847,nm0558052,nm2683474,nm1285774,nm3302615,nm1195432,nm0066313,nm1236454,nm8074876,nm4276485,nm3029174,nm4268958
3288	tt13991232	nm1564639,nm0792263,nm2058108		nm0792263
3289	tt1402376	nm0003150,nm0002704,nm0638354,nm0444709,nm0503598,nm0007096,nm0855613,nm0314104,nm0894225,nm0838198		nm0881433,nm1212932,nm1119038,nm0742749,nm0188165,nm1096268,nm2107415
3290	tt14094206	nm2038534		nm2009430,nm1849891,nm0973276,nm2857674,nm2399615
3291	tt14500082	nm1413749,nm0005205,nm0296945,nm3815120,nm0507629,nm2478453		nm4170842,nm0063215,nm0074165,nm0858657,nm7900149,nm5629975,nm7068696,nm5344507,nm4476205,nm4338665,nm0506373,nm5445860,nm0819225,nm10838316
3292	tt14518692	nm2151556		nm5312974,nm2151556
3293	tt1495848	nm3580984		nm3580984
3294	tt1519931	nm0683525,nm0272399,nm1674903,nm0021772,nm0314104,nm0816074,nm0760131,nm1199954,nm0000594,nm0011876,nm0320987,nm0289186,nm0737517,nm0668814,nm0098400,nm0832369,nm0721959,nm0059556,nm0742819,nm0003022,nm0840075,nm0304091,nm0437246,nm0003080,nm0509409,nm0367538		nm1636629,nm1590991,nm0000175,nm4000822,nm2238720,nm3682921,nm2358277,nm4166033,nm3846254,nm6109024,nm1677066,nm0822748,nm1907245,nm2373535,nm2548177,nm0009017,nm0596711,nm2386001,nm0791863,nm0357730,nm2467614,nm3431239
3295	tt1635327	nm3766090,nm3005544,nm5366481,nm3597657,nm8283390,nm8333116		nm3766090,nm3597657,nm1121649,nm3005544,nm3809533,nm4159145,nm3872444,nm3805989,nm1745343,nm5741914,nm5366481,nm8283390,nm5604534,nm5384050,nm4702551,nm3883906,nm3987336,nm4515123,nm4184040,nm4386928,nm4548010,nm3885878,nm4699819,nm4493828,nm3559637,nm3973010,nm3963291,nm0799060,nm7274752,nm3872150,nm7274751,nm2699796,nm5101642,nm4606995,nm3940598,nm6168642,nm2680357,nm6168641,nm10374390,nm3594298,nm3886208,nm0827821
3296	tt16744046	nm3391111		nm12532845,nm7590328,nm13319495,nm3391111,nm5244902,nm8810169,nm13319496
3297	tt17513352	nm12365797,nm13754938		nm12372600
3298	tt2070564	nm1576246		nm10885783,nm5609272,nm6834453,nm10252451,nm8059333,nm11433403,nm7501251,nm9462230,nm14078598,nm12261781,nm11891127,nm10252211,nm12362958,nm12047412,nm12341845,nm10251441,nm10252212,nm10252450,nm11440528
